62,65,CHOA CHU KANG LRT STATION,BP1,1.38483636,103.7445537
46,48,FAJAR LRT STATION,BP10,1.384520796,103.7708086
80,91,SEGAR LRT STATION,BP11,1.387772131,103.7695984
59,62,JELAPANG LRT STATION,BP12,1.386703025,103.7645033
58,61,SENJA LRT STATION,BP13,1.382692296,103.7623672
63,66,SOUTH VIEW LRT STATION,BP2,1.380298287,103.7452918
54,57,KEAT HONG LRT STATION,BP3,1.378602766,103.7490555
61,64,TECK WHYE LRT STATION,BP4,1.376684679,103.7537122
79,90,PHOENIX LRT STATION,BP5,1.378618844,103.7580341
45,47,BUKIT PANJANG LRT STATION,BP6,1.377909898,103.7630136
60,63,PETIR LRT STATION,BP7,1.377750334,103.766669
72,76,PENDING LRT STATION,BP8,1.376142883,103.7712702
74,80,BANGKIT LRT STATION,BP9,1.380017897,103.7726491
83,94,MACPHERSON MRT STATION,CC10/DT26,1.326345372,103.890287
139,166,TAI SENG MRT STATION,CC11,1.335433322,103.8881949
130,153,BARTLEY MRT STATION,CC12,1.342828338,103.8797589
137,162,LORONG CHUAN MRT STATION,CC14,1.351612171,103.8641519
135,160,MARYMOUNT MRT STATION,CC16,1.348707263,103.8394231
110,127,CALDECOTT MRT STATION,CC17/TE9,1.337674508,103.8395298
102,117,BUKIT BROWN MRT STATION,CC18,1.333728882,103.8306896
156,185,BOTANIC GARDENS MRT STATION,CC19/DT9,1.322110193,103.8149828
82,93,BRAS BASAH MRT STATION,CC2,1.296861687,103.8506674
106,121,FARRER ROAD MRT STATION,CC20,1.317510612,103.8075861
158,187,HOLLAND VILLAGE MRT STATION,CC21,1.31183479,103.7961918
94,108,ONE-NORTH MRT STATION,CC23,1.299759879,103.7874575
91,104,KENT RIDGE MRT STATION,CC24,1.293496062,103.7844275
136,161,HAW PAR VILLA MRT STATION,CC25,1.282542157,103.7818105
132,155,PASIR PANJANG MRT STATION,CC26,1.276213523,103.7913503
112,130,LABRADOR PARK MRT STATION,CC27,1.272332732,103.8029396
160,189,TELOK BLANGAH MRT STATION,CC28,1.270753211,103.8097486
108,125,ESPLANADE MRT STATION,CC3,1.293321608,103.8555041
155,184,PROMENADE MRT STATION,CC4/DT15,1.293218051,103.8609992
109,126,NICOLL HIGHWAY MRT STATION,CC5,1.299766835,103.863637
95,110,STADIUM MRT STATION,CC6,1.30284063,103.8753503
103,118,MOUNTBATTEN MRT STATION,CC7,1.306201905,103.8825281
131,154,DAKOTA MRT STATION,CC8,1.308382639,103.8886626
17,18,EXPO MRT STATION,CG1/DT35,1.334549778,103.9615482
152,180,CHANGI AIRPORT MRT STATION,CG2,1.357314545,103.9883647
143,171,BUKIT PANJANG MRT STATION,DT1,1.379002117,103.7615351
142,170,STEVENS MRT STATION,DT10/TE11,1.320065557,103.8260244
140,167,ROCHOR MRT STATION,DT13,1.303916484,103.8524217
100,115,BAYFRONT MRT STATION,DT16/CE1,1.281873788,103.8590798
107,123,DOWNTOWN MRT STATION,DT17,1.27944619,103.8528404
161,190,TELOK AYER MRT STATION,DT18,1.282289536,103.8483028
144,172,CASHEW MRT STATION,DT2,1.369369831,103.7646944
105,120,FORT CANNING MRT STATION,DT20,1.292478928,103.8443283
89,100,BENCOOLEN MRT STATION,DT21,1.29886427,103.8503843
99,114,JALAN BESAR MRT STATION,DT22,1.305403642,103.855477
88,99,BENDEMEER MRT STATION,DT23,1.313672233,103.862978
87,98,GEYLANG BAHRU MRT STATION,DT24,1.321505838,103.8719006
118,138,MATTAR MRT STATION,DT25,1.326876715,103.8832475
119,139,UBI MRT STATION,DT27,1.329956826,103.8992525
121,141,KAKI BUKIT MRT STATION,DT28,1.334967302,103.9084597
122,143,BEDOK NORTH MRT STATION,DT29,1.334742117,103.9179783
116,136,HILLVIEW MRT STATION,DT3,1.362344869,103.7674183
127,149,BEDOK RESERVOIR MRT STATION,DT30,1.33660783,103.9322346
86,97,TAMPINES WEST MRT STATION,DT31,1.345515305,103.938437
85,96,TAMPINES EAST MRT STATION,DT33,1.356191483,103.9546345
151,179,UPPER CHANGI MRT STATION,DT34,1.341737484,103.9614718
165,199,HUME MRT STATION,DT4,1.354517608,103.7690992
120,140,BEAUTY WORLD MRT STATION,DT5,1.341223176,103.7757943
117,137,KING ALBERT PARK MRT STATION,DT6,1.335665121,103.7838067
145,173,SIXTH AVENUE MRT STATION,DT7,1.330786387,103.7972463
114,134,TAN KAH KEE MRT STATION,DT8,1.325883209,103.8073222
13,14,PASIR RIS MRT STATION,EW1,1.372983774,103.9492681
25,26,KALLANG MRT STATION,EW10,1.31148891,103.8713865
138,163,LAVENDER MRT STATION,EW11,1.30735702,103.8628292
96,111,BUGIS MRT STATION,EW12/DT14,1.300465076,103.8557064
84,95,CITY HALL MRT STATION,EW13/NS25,1.292936243,103.8525859
157,186,RAFFLES PLACE MRT STATION,EW14/NS26,1.284125611,103.8514617
93,107,TANJONG PAGAR MRT STATION,EW15,1.276521247,103.8458642
159,188,OUTRAM PARK MRT STATION,EW16,1.281404978,103.8391265
115,135,TIONG BAHRU MRT STATION,EW17,1.286193393,103.8270194
4,5,REDHILL MRT STATION,EW18,1.289562726,103.8168167
20,21,QUEENSTOWN MRT STATION,EW19,1.294860933,103.8058843
10,11,TAMPINES MRT STATION,EW2/DT32,1.353301356,103.9451487
7,8,COMMONWEALTH MRT STATION,EW20,1.302438735,103.7983045
27,28,BUONA VISTA MRT STATION,EW21/CC22,1.307183467,103.7901915
28,29,DOVER MRT STATION,EW22,1.311405293,103.7786378
14,15,CLEMENTI MRT STATION,EW23,1.314954492,103.7652989
19,20,JURONG EAST MRT STATION,EW24/NS1,1.33315262,103.7422865
1,2,CHINESE GARDEN MRT STATION,EW25,1.342352821,103.7325967
37,39,LAKESIDE MRT STATION,EW26,1.344259249,103.7209493
32,34,BOON LAY MRT STATION,EW27,1.338604055,103.7060646
6,7,PIONEER MRT STATION,EW28,1.337586882,103.6973215
36,38,JOO KOON MRT STATION,EW29,1.327717173,103.6783751
9,10,SIMEI MRT STATION,EW3,1.343202895,103.9533717
22,23,GUL CIRCLE MRT STATION,EW30,1.319505215,103.660553
24,25,TUAS CRESCENT MRT STATION,EW31,1.321026553,103.6490755
26,27,TUAS WEST ROAD MRT STATION,EW32,1.329989089,103.6396141
21,22,TUAS LINK MRT STATION,EW33,1.340463766,103.6368787
38,40,TANAH MERAH MRT STATION,EW4,1.327187135,103.9463465
35,37,BEDOK MRT STATION,EW5,1.323979969,103.9299845
30,31,KEMBANGAN MRT STATION,EW6,1.321038249,103.9129494
0,1,EUNOS MRT STATION,EW7,1.319778952,103.9032525
8,9,PAYA LEBAR MRT STATION,EW8/CC9,1.318112082,103.8930604
15,16,ALJUNIED MRT STATION,EW9,1.316432612,103.882906
90,101,HARBOURFRONT MRT STATION,NE1/CC29,1.26547264,103.8214431
148,176,POTONG PASIR MRT STATION,NE10,1.331379525,103.8690557
124,146,WOODLEIGH MRT STATION,NE11,1.339190046,103.8708183
126,148,SERANGOON MRT STATION,NE12/CC13,1.349707875,103.8735748
104,119,KOVAN MRT STATION,NE13,1.360179171,103.8850649
149,177,HOUGANG MRT STATION,NE14,1.371292292,103.8923805
154,183,BUANGKOK MRT STATION,NE15,1.382877858,103.8931216
101,116,SENGKANG MRT STATION,NE16,1.391694626,103.8954847
92,106,PUNGGOL MRT STATION,NE18,1.404546728,103.9020726
113,131,CHINATOWN MRT STATION,NE4/DT19,1.284359578,103.8434268
133,157,CLARKE QUAY MRT STATION,NE5,1.288386024,103.8465552
141,169,LITTLE INDIA MRT STATION,NE7/DT12,1.306800025,103.849647
129,151,FARRER PARK MRT STATION,NE8,1.31235984,103.8541771
150,178,BOON KENG MRT STATION,NE9,1.319395706,103.8616865
11,12,ADMIRALTY MRT STATION,NS10,1.440585001,103.800988
29,30,SEMBAWANG MRT STATION,NS11,1.449050821,103.8200461
163,193,CANBERRA MRT STATION,NS12,1.4431367,103.8297118
12,13,YISHUN MRT STATION,NS13,1.429443081,103.835005
2,3,KHATIB MRT STATION,NS14,1.41738337,103.8329799
39,41,YIO CHU KANG MRT STATION,NS15,1.381756046,103.8449473
16,17,ANG MO KIO MRT STATION,NS16,1.369347304,103.849933
134,158,BISHAN MRT STATION,NS17/CC15,1.350838988,103.848144
153,182,BRADDELL MRT STATION,NS18,1.340471684,103.8467978
146,174,TOA PAYOH MRT STATION,NS19,1.332628987,103.8475018
31,32,BUKIT BATOK MRT STATION,NS2,1.349034109,103.7495668
125,147,NOVENA MRT STATION,NS20,1.320440791,103.8438256
162,191,NEWTON MRT STATION,NS21/DT11,1.3123201,103.8379853
98,113,ORCHARD MRT STATION,NS22/TE14,1.303981012,103.8322415
97,112,SOMERSET MRT STATION,NS23,1.300260055,103.8390752
123,144,DHOBY GHAUT MRT STATION,NS24/NE6/CC1,1.298701307,103.8461152
111,128,MARINA BAY MRT STATION,NS27/TE20/CE2,1.276427355,103.8545978
128,150,MARINA SOUTH PIER MRT STATION,NS28,1.271336711,103.8628598
33,35,BUKIT GOMBAK MRT STATION,NS3,1.358761857,103.7518935
18,19,CHOA CHU KANG MRT STATION,NS4,1.385361693,103.7443409
5,6,YEW TEE MRT STATION,NS5,1.397535018,103.7474051
3,4,KRANJI MRT STATION,NS7,1.425177699,103.7621654
34,36,MARSILING MRT STATION,NS8,1.432514421,103.7740715
23,24,WOODLANDS MRT STATION,NS9/TE2,1.436875128,103.7864851
56,59,COVE LRT STATION,PE1,1.399281985,103.9059619
66,69,MERIDIAN LRT STATION,PE2,1.396912053,103.9089502
52,55,CORAL EDGE LRT STATION,PE3,1.393909226,103.9125809
57,60,RIVIERA LRT STATION,PE4,1.394524496,103.9161661
51,54,KADALOOR LRT STATION,PE5,1.399584853,103.9164867
40,42,OASIS LRT STATION,PE6,1.402286677,103.9127274
55,58,DAMAI LRT STATION,PE7,1.405234836,103.9086035
47,50,PUNGGOL LRT STATION,PTC/NE19,1.405194701,103.9024119
41,43,SAM KEE LRT STATION,PW1,1.409612685,103.9048316
73,77,TECK LEE LRT STATION,PW2,1.412770894,103.9065776
68,71,PUNGGOL POINT LRT STATION,PW3,1.41684852,103.9066508
48,51,SAMUDERA LRT STATION,PW4,1.415901719,103.9021563
49,52,NIBONG LRT STATION,PW5,1.411870458,103.9003138
69,72,SUMANG LRT STATION,PW6,1.408452426,103.8985585
50,53,SOO TECK LRT STATION,PW7,1.405088585,103.8972097
77,83,COMPASSVALE LRT STATION,SE1,1.394493046,103.9004925
76,82,RUMBIA LRT STATION,SE2,1.391468497,103.9059736
75,81,BAKAU LRT STATION,SE3,1.388092704,103.9054391
65,68,KANGKAR LRT STATION,SE4,1.383978902,103.902174
78,89,RANGGUNG LRT STATION,SE5,1.383885442,103.8975372
81,92,SENGKANG LRT STATION,STC/NE17,1.391609364,103.8954426
67,70,CHENG LIM LRT STATION,SW1,1.396277631,103.8937972
42,44,FARMWAY LRT STATION,SW2,1.397170196,103.8893048
43,45,KUPANG LRT STATION,SW3,1.398212828,103.8812562
53,56,THANGGAM LRT STATION,SW4,1.397318155,103.8756352
70,73,FERNVALE LRT STATION,SW5,1.391885888,103.8763086
64,67,LAYAR LRT STATION,SW6,1.392079839,103.8800296
71,74,TONGKANG LRT STATION,SW7,1.389347953,103.8858441
44,46,RENJONG LRT STATION,SW8,1.386723922,103.8905394
164,192,WOODLANDS NORTH MRT STATION,TE1,1.4482925,103.7856927
147,175,WOODLANDS SOUTH MRT STATION,TE3,1.427259979,103.7938509
166,198,SPRINGLEAF MRT STATION,TE4,1.398160861,103.8180818
167,197,LENTOR MRT STATION,TE5,1.385061947,103.8364695
168,196,MAYFLOWER MRT STATION,TE6,1.372086639,103.8368239
169,195,BRIGHT HILL MRT STATION,TE7,1.363308098,103.832936
170,194,UPPER THOMSON MRT STATION,TE8,1.354411853,103.8329382
